,product_title,product_main_image_url,app_sale_price,product_detail_url,product_id,evaluate_rate,original_price,manufacturer,prod_overview,price_range,RAM,ROM,total_des
0,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/81vDZyJQ-4L._AC_UY218_.jpg,39990,https://www.amazon.in/dp/B08VB57558,B08VB57558,4.4/5,"₹74,999",Samsung,"5G Ready powered by Qualcomm Snapdragon 865 Octa-Core processor, 8GB RAM, 128GB internal memory expandable up to 1TB, Android 11.0 operating system and dual SIMTriple Rear Camera Setup - 12MP (Dual Pixel) OIS F1.8 Wide Rear Camera + 8MP OIS Tele Camera + 12MP Ultra Wide | 30X Space Zoom, Single Take & Night Mode | 32MP F2.2 Front Punch Hole Camera6.5-inch(16.40 centimeters) Infinity-O Super AMOLED Display with 120Hz Refresh rate, 1080 x 2400 (FHD+) Resolution ""4500 mAh battery (Non -removable) with Super Fast Charging, FAst Wireless Charging & Finger Print sensorIP68 Rated, MicroSD Card Slot (Expandable upto 1 TB), Dual Nano Sim, Hybrid Sim Slot, 5G+5G Dual stand by5G Ready powered by Qualcomm Snapdragon 865 Octa-Core processor, 8GB RAM, 128GB internal memory expandable up to 1TB, Android 11.0 operating system and dual SIM.Triple Rear Camera Setup - 12megapixels (Dual Pixel) OIS F1.8 Wide Rear Camera + 8megapixels OIS Tele Camera + 12megapixels Ultra Wide | 30X Space Zoom, Single Take & Night Mode | 32megapixels F2.2 Front Punch Hole Camera.6.5-inch(16.40 centimeters) Infinity-O Super AMOLED Display with 120Hz Refresh rate, 1080 x 2400 (FHD+) Resolution.4500 mAh battery (Non -removable) with Super Fast Charging, Fast Wireless Charging & Finger Print sensor.IP68 Rated, MicroSD Card Slot (Expandable upto 1 TB), Dual Nano Sim, Hybrid Sim Slot.5G Ready powered by Qualcomm Snapdragon 865 Octa-Core processor, 8GB RAM, 128GB internal memory expandable up to 1TB, Android 11.0 operating system and dual SIM.Triple Rear Camera Setup - 12megapixels (Dual Pixel) OIS F1.8 Wide Rear Camera + 8megapixels OIS Tele Camera + 12megapixels Ultra Wide | 30X Space Zoom, Single Take & Night Mode | 32megapixels F2.2 Front Punch Hole Camera.6.5-inch(16.40 centimeters) Infinity-O Super AMOLED Display with 120Hz Refresh rate, 1080 x 2400 (FHD+) Resolution.4500 mAh battery (Non -removable) with Super Fast Charging, Fast Wireless Charging & Finger Print sensor.IP68 Rated, MicroSD Card Slot (Expandable upto 1 TB), Dual Nano Sim, Hybrid Sim Slot.",30k-40k,8.0,128,"4.4/5 30k-40k Samsung 5G Ready powered by Qualcomm Snapdragon 865 Octa-Core processor, 8GB RAM, 128GB internal memory expandable up to 1TB, Android 11.0 operating system and dual SIMTriple Rear Camera Setup - 12MP (Dual Pixel) OIS F1.8 Wide Rear Camera + 8MP OIS Tele Camera + 12MP Ultra Wide | 30X Space Zoom, Single Take & Night Mode | 32MP F2.2 Front Punch Hole Camera6.5-inch(16.40 centimeters) Infinity-O Super AMOLED Display with 120Hz Refresh rate, 1080 x 2400 (FHD+) Resolution ""4500 mAh battery (Non -removable) with Super Fast Charging, FAst Wireless Charging & Finger Print sensorIP68 Rated, MicroSD Card Slot (Expandable upto 1 TB), Dual Nano Sim, Hybrid Sim Slot, 5G+5G Dual stand by5G Ready powered by Qualcomm Snapdragon 865 Octa-Core processor, 8GB RAM, 128GB internal memory expandable up to 1TB, Android 11.0 operating system and dual SIM.Triple Rear Camera Setup - 12megapixels (Dual Pixel) OIS F1.8 Wide Rear Camera + 8megapixels OIS Tele Camera + 12megapixels Ultra Wide | 30X Space Zoom, Single Take & Night Mode | 32megapixels F2.2 Front Punch Hole Camera.6.5-inch(16.40 centimeters) Infinity-O Super AMOLED Display with 120Hz Refresh rate, 1080 x 2400 (FHD+) Resolution.4500 mAh battery (Non -removable) with Super Fast Charging, Fast Wireless Charging & Finger Print sensor.IP68 Rated, MicroSD Card Slot (Expandable upto 1 TB), Dual Nano Sim, Hybrid Sim Slot.5G Ready powered by Qualcomm Snapdragon 865 Octa-Core processor, 8GB RAM, 128GB internal memory expandable up to 1TB, Android 11.0 operating system and dual SIM.Triple Rear Camera Setup - 12megapixels (Dual Pixel) OIS F1.8 Wide Rear Camera + 8megapixels OIS Tele Camera + 12megapixels Ultra Wide | 30X Space Zoom, Single Take & Night Mode | 32megapixels F2.2 Front Punch Hole Camera.6.5-inch(16.40 centimeters) Infinity-O Super AMOLED Display with 120Hz Refresh rate, 1080 x 2400 (FHD+) Resolution.4500 mAh battery (Non -removable) with Super Fast Charging, Fast Wireless Charging & Finger Print sensor.IP68 Rated, MicroSD Card Slot (Expandable upto 1 TB), Dual Nano Sim, Hybrid Sim Slot."
1,"OPPO A55 (Rainbow Blue, 4GB RAM, 64GB Storage) | Flat Rs. 2750 Citibank and Axis Discount | Get Complimentary 3 Months Prime Membership",https://m.media-amazon.com/images/I/71WImHX0laL._AC_UY218_.jpg,15490,https://www.amazon.in/dp/B09H7HKVLL,B09H7HKVLL,3.3/5,"₹18,990",OPPO,"6.51"" Inch (16.53cm) HD+ Punch Hole Display | Screen to body ratio 89.2%. Side mounted FingerprintMediaTek Helio G35 GPU IMG GE8320 @ 680 MHz | Powerful 2.3 GHz Octa-core processor, support LPDDR4X memory5000 mAh lithium polymer battery50MP Triple Camera ( 50MP Main + 2MP Mono + 2MP macro Lens) | 16MP Front Camera.Memory, Storage & SIM: 4GB RAM | 64GB | Dual SIM (nano+nano) dual-standby (4G+4G).| Color OS 7.2 based on Android 11.0Get Complimentary 3 Months Amazon Prime Membership",10k-20k,4.0,64,"3.3/5 10k-20k OPPO 6.51"" Inch (16.53cm) HD+ Punch Hole Display | Screen to body ratio 89.2%. Side mounted FingerprintMediaTek Helio G35 GPU IMG GE8320 @ 680 MHz | Powerful 2.3 GHz Octa-core processor, support LPDDR4X memory5000 mAh lithium polymer battery50MP Triple Camera ( 50MP Main + 2MP Mono + 2MP macro Lens) | 16MP Front Camera.Memory, Storage & SIM: 4GB RAM | 64GB | Dual SIM (nano+nano) dual-standby (4G+4G).| Color OS 7.2 based on Android 11.0Get Complimentary 3 Months Amazon Prime Membership"
2,"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg,6999,https://www.amazon.in/dp/B08696XB4B,B08696XB4B,4.2/5,"₹8,499",Redmi,"Country Of Origin - India13MP rear camera with AI portrait, AI scene recognition, HDR, pro mode | 5MP front camera. Hybrid Sim Slot : Yes16.58 centimeters (6.53 inch) HD+ multi-touch capacitive touchscreen with 1600 x 720 pixels resolution, 268 ppi pixel density and 20:9 aspect ratioMemory, Storage & SIM: 2GB RAM, 32GB internal memory expandable up to 512GB | Dual SIM (nano+nano) + Dedicated SD card slotAndroid v10 operating system with upto 2.0GHz clock speed Mediatek Helio G25 octa core processor5000mAH lithium-polymer large battery with 10W wired charger in-box1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseBox also includes: Power adapter, USB cable, sim eject tool, warranty card and user guide",1k-10k,2.0,32,"4.2/5 1k-10k Redmi Country Of Origin - India13MP rear camera with AI portrait, AI scene recognition, HDR, pro mode | 5MP front camera. Hybrid Sim Slot : Yes16.58 centimeters (6.53 inch) HD+ multi-touch capacitive touchscreen with 1600 x 720 pixels resolution, 268 ppi pixel density and 20:9 aspect ratioMemory, Storage & SIM: 2GB RAM, 32GB internal memory expandable up to 512GB | Dual SIM (nano+nano) + Dedicated SD card slotAndroid v10 operating system with upto 2.0GHz clock speed Mediatek Helio G25 octa core processor5000mAH lithium-polymer large battery with 10W wired charger in-box1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseBox also includes: Power adapter, USB cable, sim eject tool, warranty card and user guide"
3,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor",https://m.media-amazon.com/images/I/71A9Vo1BatL._AC_UY218_.jpg,8499,https://www.amazon.in/dp/B08697N43N,B08697N43N,4.2/5,"₹10,999",Redmi,"13+2MP Rear camera with AI Portrait, AI scene recognition, HDR, Pro mode | 5MP front facing camera16.58 centimeters (6.53-inch) HD+ multi-touch capacitive touchscreen with 1600 x 720 pixels resolution, 268 ppi pixel density, 20:9 aspect ratioMemory, Storage & SIM: 4GB RAM | 64GB storage expandable up to 512GB| Dual SIM with dual standby (4G+4G)Android v10 operating system with 2.3GHz Mediatek Helio G35 octa core processor5000mAH lithium-polymer battery with 10W wired charger in-box1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseBox also includes: Power adapter, USB cable, SIM eject tool, Warranty card, User guide",1k-10k,4.0,64,"4.2/5 1k-10k Redmi 13+2MP Rear camera with AI Portrait, AI scene recognition, HDR, Pro mode | 5MP front facing camera16.58 centimeters (6.53-inch) HD+ multi-touch capacitive touchscreen with 1600 x 720 pixels resolution, 268 ppi pixel density, 20:9 aspect ratioMemory, Storage & SIM: 4GB RAM | 64GB storage expandable up to 512GB| Dual SIM with dual standby (4G+4G)Android v10 operating system with 2.3GHz Mediatek Helio G35 octa core processor5000mAH lithium-polymer battery with 10W wired charger in-box1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseBox also includes: Power adapter, USB cable, SIM eject tool, Warranty card, User guide"
4,"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate",https://m.media-amazon.com/images/I/71r69Y7BSeL._AC_UY218_.jpg,9499,https://www.amazon.in/dp/B08XGDN3TZ,B08XGDN3TZ,4.1/5,"₹12,999",Samsung,"48MP+5MP+2MP+2MP Quad camera setup- True 48MP (F 2.0) main camera + 5MP (F2.2) Ultra wide camera+ 2MP (F2.4) depth camera + 2MP (2.4) Macro Camera| 8MP (F2.2) front came6000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseAndroid 11, v11.0 operating system,One UI 3.1, with 8nm Power Efficient Exynos850 (Octa Core 2.0GH16.55 centimeters (6.5-inch) HD+ TFT LCD - infinity v-cut display,90Hz screen refresh rate, HD+ resolution with 720 x 1600 pixels resolution, 269 PPI with 16M colorMemory, Storage & SIM: 4GB RAM | 64GB internal memory expandable up to 1TB| Dual SIM (nano+nano) dual-standby (4G+4",1k-10k,4.0,64,"4.1/5 1k-10k Samsung 48MP+5MP+2MP+2MP Quad camera setup- True 48MP (F 2.0) main camera + 5MP (F2.2) Ultra wide camera+ 2MP (F2.4) depth camera + 2MP (2.4) Macro Camera| 8MP (F2.2) front came6000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseAndroid 11, v11.0 operating system,One UI 3.1, with 8nm Power Efficient Exynos850 (Octa Core 2.0GH16.55 centimeters (6.5-inch) HD+ TFT LCD - infinity v-cut display,90Hz screen refresh rate, HD+ resolution with 720 x 1600 pixels resolution, 269 PPI with 16M colorMemory, Storage & SIM: 4GB RAM | 64GB internal memory expandable up to 1TB| Dual SIM (nano+nano) dual-standby (4G+4"
5,"Samsung Galaxy M31 (Ocean Blue, 8GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",https://m.media-amazon.com/images/I/71-Su4Wr0HL._AC_UY218_.jpg,16999,https://www.amazon.in/dp/B07HG8S7KP,B07HG8S7KP,4.2/5,"₹21,999",Samsung,"Quad Camera Setup - 64MP (F1.8) Main Camera +8MP (F2.2) Ultra Wide Camera +5MP(F2.2) Depth Camera +5MP(F2.4) Macro Camera and 32MP (F2.0) front facing Camera6.4-inch(16.21 centimeters) Super Amoled - Infinity U Cut Display , FHD+ Resolution (2340 x 1080) , 404 ppi pixel density and 16M color supportAndroid v10.0 operating system with 2.3GHz + 1.7GHz Exynos 9611 Octa core processor , 8GB RAM, 128GB internal memory expandable up to 512GB and dual SIM6000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchasePlease contact Samsung helpline number 1800 407 267864 for any assistance related to device",10k-20k,8.0,128,"4.2/5 10k-20k Samsung Quad Camera Setup - 64MP (F1.8) Main Camera +8MP (F2.2) Ultra Wide Camera +5MP(F2.2) Depth Camera +5MP(F2.4) Macro Camera and 32MP (F2.0) front facing Camera6.4-inch(16.21 centimeters) Super Amoled - Infinity U Cut Display , FHD+ Resolution (2340 x 1080) , 404 ppi pixel density and 16M color supportAndroid v10.0 operating system with 2.3GHz + 1.7GHz Exynos 9611 Octa core processor , 8GB RAM, 128GB internal memory expandable up to 512GB and dual SIM6000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchasePlease contact Samsung helpline number 1800 407 267864 for any assistance related to device"
6,"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",https://m.media-amazon.com/images/I/61CnyJ-IbML._AC_UY218_.jpg,11490,https://www.amazon.in/dp/B08444SXZ6,B08444SXZ6,4.2/5,"₹15,990",OPPO,"12+2+2MP triple rear camera (12MP main camera+2MP macro lens+2MP depth camera) with Portrait bokeh, macro lens, dazzle color mode, AI beautification | 8MP front camera16.5 centimeters (6.5-inch) waterdrop multi touch screen with an 89% screen to body ratio | 1600 x 720 pixels resolution, 269 ppi pixel densityMemory, Storage & SIM: 6GB RAM | 128GB internal memory expandable up to 256GB | Dual SIM (nano+nano) dual-standby (4G+4G)Android Pie v9.0 based on ColorOS 6.1 operating system with 2.3GHz Mediatek 6765 octa core processor, IMG GE83204230mAH lithium-polymer battery providing talk-time of 45 hours and standby time of 450 hours1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseBox also includes: USB cable, Sim tray ejecter, pre-applied screen protector and protective case, booklet with warranty card and quick guide. The box does not include earphones",10k-20k,6.0,128,"4.2/5 10k-20k OPPO 12+2+2MP triple rear camera (12MP main camera+2MP macro lens+2MP depth camera) with Portrait bokeh, macro lens, dazzle color mode, AI beautification | 8MP front camera16.5 centimeters (6.5-inch) waterdrop multi touch screen with an 89% screen to body ratio | 1600 x 720 pixels resolution, 269 ppi pixel densityMemory, Storage & SIM: 6GB RAM | 128GB internal memory expandable up to 256GB | Dual SIM (nano+nano) dual-standby (4G+4G)Android Pie v9.0 based on ColorOS 6.1 operating system with 2.3GHz Mediatek 6765 octa core processor, IMG GE83204230mAH lithium-polymer battery providing talk-time of 45 hours and standby time of 450 hours1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseBox also includes: USB cable, Sim tray ejecter, pre-applied screen protector and protective case, booklet with warranty card and quick guide. The box does not include earphones"
7,"Redmi Note 10S (Frost White, 6GB RAM, 64GB Storage) - Super Amoled Display | 64 MP Quad Camera | Alexa Built in",https://m.media-amazon.com/images/I/81SJHWh-dfL._AC_UY218_.jpg,13999,https://www.amazon.in/dp/B0948NV5PH,B0948NV5PH,4.1/5,"₹16,999",Redmi,"Display: FHD+ 1080x2400 AMOLED Dot display; 16.33 centimeters 6.43 inch; 20:9 aspect ratioCamera: 64 MP Quad Rear camera with 8MP Ultra-wide, 2MP Macro and Portrait lens 13 MP Front cameraProcessor: MediaTek Helio G95 Octa-core; 12nm process; Up to 2.05GHz clock speedBattery: 5000 mAh large battery with 33W fast charger in-box and Type-C connectivityMemory, Storage & SIM: 6GB RAM 64GB UFS 2.2 storage expandable up to 512GB with dedicated SD card slot Dual SIM nano+nano dual standby 4G+4GMemory slots available: 1Alexa Hands-Free capable: Download the Alexa app on to use Alexa hands-free. Play music, make calls, hear news, open apps, navigate, and more, using just your voice, while on-the-go. Just ask and Alexa will respond instantly.",10k-20k,6.0,64,"4.1/5 10k-20k Redmi Display: FHD+ 1080x2400 AMOLED Dot display; 16.33 centimeters 6.43 inch; 20:9 aspect ratioCamera: 64 MP Quad Rear camera with 8MP Ultra-wide, 2MP Macro and Portrait lens 13 MP Front cameraProcessor: MediaTek Helio G95 Octa-core; 12nm process; Up to 2.05GHz clock speedBattery: 5000 mAh large battery with 33W fast charger in-box and Type-C connectivityMemory, Storage & SIM: 6GB RAM 64GB UFS 2.2 storage expandable up to 512GB with dedicated SD card slot Dual SIM nano+nano dual standby 4G+4GMemory slots available: 1Alexa Hands-Free capable: Download the Alexa app on to use Alexa hands-free. Play music, make calls, hear news, open apps, navigate, and more, using just your voice, while on-the-go. Just ask and Alexa will respond instantly."
8,"Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate",https://m.media-amazon.com/images/I/7162Y5fPdkL._AC_UY218_.jpg,9499,https://www.amazon.in/dp/B08XJCMGL7,B08XJCMGL7,4.1/5,"₹12,999",Samsung,"48MP+5MP+2MP+2MP Quad camera setup- True 48MP (F 2.0) main camera + 5MP (F2.2) Ultra wide camera+ 2MP (F2.4) depth camera + 2MP (2.4) Macro Camera| 8MP (F2.2) front came6000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseAndroid 11, v11.0 operating system,One UI 3.1, with 8nm Power Efficient Exynos850 (Octa Core 2.0GH16.55 centimeters (6.5-inch) HD+ TFT LCD - infinity v-cut display,90Hz screen refresh rate, HD+ resolution with 720 x 1600 pixels resolution, 269 PPI with 16M colorMemory, Storage & SIM: 4GB RAM | 64GB internal memory expandable up to 1TB| Dual SIM (nano+nano) dual-standby (4G+4",1k-10k,4.0,64,"4.1/5 1k-10k Samsung 48MP+5MP+2MP+2MP Quad camera setup- True 48MP (F 2.0) main camera + 5MP (F2.2) Ultra wide camera+ 2MP (F2.4) depth camera + 2MP (2.4) Macro Camera| 8MP (F2.2) front came6000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseAndroid 11, v11.0 operating system,One UI 3.1, with 8nm Power Efficient Exynos850 (Octa Core 2.0GH16.55 centimeters (6.5-inch) HD+ TFT LCD - infinity v-cut display,90Hz screen refresh rate, HD+ resolution with 720 x 1600 pixels resolution, 269 PPI with 16M colorMemory, Storage & SIM: 4GB RAM | 64GB internal memory expandable up to 1TB| Dual SIM (nano+nano) dual-standby (4G+4"
9,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",https://m.media-amazon.com/images/I/71r69Y7BSeL._AC_UY218_.jpg,11499,https://www.amazon.in/dp/B08XJG8MQM,B08XJG8MQM,4.1/5,"₹14,499",Samsung,"48MP+5MP+2MP+2MP Quad camera setup- True 48MP (F 2.0) main camera + 5MP (F2.2) Ultra wide camera+ 2MP (F2.4) depth camera + 2MP (2.4) Macro Camera| 8MP (F2.2) front cameMemory, Storage & SIM: 6GB RAM | 128GB internal memory expandable up to 1TB| Dual SIM (nano+nano) dual-standby (4G+46000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseAndroid 11, v11.0 operating system,One UI 3.1, with 8nm Power Efficient Exynos850 (Octa Core 2.0GH16.55 centimeters (6.5-inch) HD+ TFT LCD - infinity v-cut display,90Hz screen refresh rate, HD+ resolution with 720 x 1600 pixels resolution, 269 PPI with 16M color",10k-20k,6.0,128,"4.1/5 10k-20k Samsung 48MP+5MP+2MP+2MP Quad camera setup- True 48MP (F 2.0) main camera + 5MP (F2.2) Ultra wide camera+ 2MP (F2.4) depth camera + 2MP (2.4) Macro Camera| 8MP (F2.2) front cameMemory, Storage & SIM: 6GB RAM | 128GB internal memory expandable up to 1TB| Dual SIM (nano+nano) dual-standby (4G+46000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseAndroid 11, v11.0 operating system,One UI 3.1, with 8nm Power Efficient Exynos850 (Octa Core 2.0GH16.55 centimeters (6.5-inch) HD+ TFT LCD - infinity v-cut display,90Hz screen refresh rate, HD+ resolution with 720 x 1600 pixels resolution, 269 PPI with 16M color"
